feature,missing_count,missing_percentage
id_24,585793,99.19615944728554
id_25,585408,99.13096487960172
id_07,585385,99.12707013919464
id_08,585385,99.12707013919464
id_21,585381,99.12639279303687
id_26,585377,99.12571544687913
id_27,585371,99.1246994276425
id_23,585371,99.1246994276425
id_22,585371,99.1246994276425
dist2,552913,93.62837403054831
D7,551623,93.40992989467267
id_18,545427,92.36072069631184
D13,528588,89.50926270870728
D14,528353,89.46946862193924
D12,525823,89.04104717715988
id_04,524216,88.76892335828225
id_03,524216,88.76892335828225
D6,517353,87.60676668811597
id_33,517251,87.58949436109323
id_09,515614,87.31229044603245
D8,515614,87.31229044603245
id_10,515614,87.31229044603245
D9,515614,87.31229044603245
id_30,512975,86.8654113184543
id_32,512954,86.86185525112609
id_34,512735,86.82477054898906
id_14,510496,86.4456260371863
V138,508595,86.12371727571374
V139,508595,86.12371727571374
V148,508595,86.12371727571374
V154,508595,86.12371727571374
V162,508595,86.12371727571374
V141,508595,86.12371727571374
V157,508595,86.12371727571374
V146,508595,86.12371727571374
V163,508595,86.12371727571374
V155,508595,86.12371727571374
V142,508595,86.12371727571374
V161,508595,86.12371727571374
V158,508595,86.12371727571374
V156,508595,86.12371727571374
V140,508595,86.12371727571374
V149,508595,86.12371727571374
V147,508595,86.12371727571374
V153,508595,86.12371727571374
V159,508589,86.12270125647711
V160,508589,86.12270125647711
V166,508589,86.12270125647711
V164,508589,86.12270125647711
V165,508589,86.12270125647711
V152,508589,86.12270125647711
V145,508589,86.12270125647711
V143,508589,86.12270125647711
V144,508589,86.12270125647711
V150,508589,86.12270125647711
V151,508589,86.12270125647711
V330,508189,86.05496664070174
V329,508189,86.05496664070174
V336,508189,86.05496664070174
V333,508189,86.05496664070174
V334,508189,86.05496664070174
V331,508189,86.05496664070174
V326,508189,86.05496664070174
V325,508189,86.05496664070174
V324,508189,86.05496664070174
V327,508189,86.05496664070174
V323,508189,86.05496664070174
V322,508189,86.05496664070174
V338,508189,86.05496664070174
V339,508189,86.05496664070174
V335,508189,86.05496664070174
V337,508189,86.05496664070174
V328,508189,86.05496664070174
V332,508189,86.05496664070174
DeviceInfo,471874,79.90551021099333
id_13,463220,78.44007179869273
id_16,461200,78.098011989027
V249,460110,77.91343516103905
V277,460110,77.91343516103905
V278,460110,77.91343516103905
V248,460110,77.91343516103905
V275,460110,77.91343516103905
V276,460110,77.91343516103905
V252,460110,77.91343516103905
V247,460110,77.91343516103905
V246,460110,77.91343516103905
V232,460110,77.91343516103905
V237,460110,77.91343516103905
V244,460110,77.91343516103905
V243,460110,77.91343516103905
V241,460110,77.91343516103905
V242,460110,77.91343516103905
V240,460110,77.91343516103905
V236,460110,77.91343516103905
V263,460110,77.91343516103905
V262,460110,77.91343516103905
V261,460110,77.91343516103905
V264,460110,77.91343516103905
V267,460110,77.91343516103905
V266,460110,77.91343516103905
V269,460110,77.91343516103905
V265,460110,77.91343516103905
V268,460110,77.91343516103905
V273,460110,77.91343516103905
V274,460110,77.91343516103905
V254,460110,77.91343516103905
V260,460110,77.91343516103905
V253,460110,77.91343516103905
V257,460110,77.91343516103905
V258,460110,77.91343516103905
V218,460110,77.91343516103905
V217,460110,77.91343516103905
V219,460110,77.91343516103905
V223,460110,77.91343516103905
V226,460110,77.91343516103905
V225,460110,77.91343516103905
V224,460110,77.91343516103905
V231,460110,77.91343516103905
V228,460110,77.91343516103905
V229,460110,77.91343516103905
V233,460110,77.91343516103905
V235,460110,77.91343516103905
V230,460110,77.91343516103905
id_05,453675,76.82375452975243
id_06,453675,76.82375452975243
R_emaildomain,453249,76.75161716395164
id_20,451279,76.41802418125782
id_19,451222,76.40837199850984
id_17,451171,76.39973583499847
V213,450909,76.35536966166559
V215,450909,76.35536966166559
V214,450909,76.35536966166559
V206,450909,76.35536966166559
V183,450909,76.35536966166559
V168,450909,76.35536966166559
V173,450909,76.35536966166559
V181,450909,76.35536966166559
V212,450909,76.35536966166559
V211,450909,76.35536966166559
V205,450909,76.35536966166559
V207,450909,76.35536966166559
V216,450909,76.35536966166559
V167,450909,76.35536966166559
V182,450909,76.35536966166559
V193,450909,76.35536966166559
V192,450909,76.35536966166559
V187,450909,76.35536966166559
V204,450909,76.35536966166559
V202,450909,76.35536966166559
V203,450909,76.35536966166559
V199,450909,76.35536966166559
V196,450909,76.35536966166559
V186,450909,76.35536966166559
V179,450909,76.35536966166559
V177,450909,76.35536966166559
